event_id,event_family,event_title,admin,authority,country_scope,product_scope,announced_date,effective_date,end_date,status_bucket,currently_active,historical_flag,rate_summary,legal_source_label,legal_source_url,status_source_label,status_source_url,notes
section421_china_tires_2009,section_421,China tire safeguard tariff,Obama,Section 421,China,Certain passenger vehicle and light truck tires,2009-09-11,2009-09-26,2012-09-25,expired_historical,false,true,"35% year 1, 30% year 2, 25% year 3",USTR China tire safeguard information sheet,https://www.ustr.gov/sites/default/files/Information%20on%20China%20Tires%20Safeguard.pdf,USTR China tire safeguard information sheet,https://www.ustr.gov/sites/default/files/Information%20on%20China%20Tires%20Safeguard.pdf,Three-year safeguard under Section 421; useful historical benchmark for upstream tire case studies.
section201_washers_2018,section_201,Large residential washers safeguard,Trump 1,Section 201,Global,Large residential washers and covered parts,2018-01-22,2018-02-07,2023-02-07,expired_historical,false,true,Tariff-rate quota; 20% / 50% in year 1 with later scheduled reductions,USTR press release on washers safeguard,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/january/president-trump-approves,USTR washer modification release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/december/additional-action-taken-provide-relief-us-washing-machine-manufacturers,"Initial safeguard effective February 7, 2018; later modified in 2019 but expired in 2023."
section201_solar_2018,section_201,Solar cells and modules safeguard,Trump 1,Section 201,Global,Crystalline silicon photovoltaic cells and modules,2018-01-22,2018-02-07,2022-02-06,superseded_historical,false,true,30% year 1 with annual step-down to 15% by year 4,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,Original four-year solar safeguard later extended by Biden in 2022.
section201_solar_extension_2022,section_201,Solar safeguard extension and rate reset,Biden,Section 201,Global (with Canada MOU carveout),Crystalline silicon photovoltaic cells and modules,2022-02-04,2022-02-07,2026-02-06,expired_historical,false,true,14.75% year 1 with annual step-down to 14.0% by year 4,USTR Section 201 solar page,https://ustr.gov/issue-areas/enforcement/section-201-investigations/investigation-no-ta-201-75-cspv-cells,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,"Extension ran through February 6, 2026; Canada MOU suspended application to Canadian solar imports effective February 1, 2022."
section201_solar_bifacial_revocation_2024,section_201,Solar safeguard bifacial-module exclusion revocation,Biden,Section 201,Global,Bifacial solar modules previously excluded from safeguard,2024-06-21,2024-06-21,2026-02-06,expired_historical,false,true,Revoked exclusion; safeguard rates again applied to covered bifacial modules,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,USTR Section 201 investigations page,https://ustr.gov/issue-areas/enforcement/section-201-investigations,Important 2024 scope change inside the still-running solar safeguard.
section232_steel_2018,section_232,Steel Section 232 tariffs,Trump 1,Section 232,Global (with changing country exceptions),Steel mill products and covered steel imports,2018-03-08,2018-03-23,2025-03-11,superseded_historical,false,true,25%,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,Original 2018 steel tariff later modified repeatedly and reset in 2025.
section232_aluminum_2018,section_232,Aluminum Section 232 tariffs,Trump 1,Section 232,Global (with changing country exceptions),Aluminum and covered aluminum imports,2018-03-08,2018-03-23,2025-03-11,superseded_historical,false,true,10%,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Original 2018 aluminum tariff later modified repeatedly and reset in 2025.
section232_steel_aluminum_derivatives_2020,section_232,Steel and aluminum derivative-product expansion,Trump 1,Section 232,Global (with some country exceptions),Certain derivative steel and aluminum products,2020-01-24,2020-02-08,2025-03-11,superseded_historical,false,true,25% on derivative steel products; 10% on derivative aluminum products,White House steel proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House aluminum proclamation summary,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Proclamation 9980 extension of Section 232 to specified derivative products.
section232_steel_aluminum_reset_2025,section_232,Steel and aluminum Section 232 reset to broad 25%,Trump 2,Section 232,Global,"Steel, aluminum, and covered derivatives",2025-02-10,2025-03-12,2025-06-03,superseded_historical,false,false,"25% on steel and aluminum, with many prior exemptions/quota arrangements removed",White House steel proclamation,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-steel-into-the-united-states/,White House aluminum proclamation,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/,Short-lived reset before June 2025 increase to 50%; UK treatment remained distinct later.
section232_steel_aluminum_raise50_2025,section_232,Steel and aluminum Section 232 increase to 50%,Trump 2,Section 232,Global (UK remains 25% under separate arrangement),"Steel, aluminum, and covered derivative products",2025-06-03,2025-06-04,,active_current,true,false,50% generally; UK remains 25%,White House fact sheet on 50% steel/aluminum tariffs,https://www.whitehouse.gov/fact-sheets/2025/06/fact-sheet-president-donald-j-trump-increases-section-232-tariffs-on-steel-and-aluminum/,White House fact sheet on 50% steel/aluminum tariffs,https://www.whitehouse.gov/fact-sheets/2025/06/fact-sheet-president-donald-j-trump-increases-section-232-tariffs-on-steel-and-aluminum/,"Current core steel/aluminum Section 232 program as of March 27, 2026."
section232_autos_parts_2025,section_232,Automobiles and automobile parts Section 232 tariffs,Trump 2,Section 232,Global,Passenger vehicles and many auto parts,2025-03-26,2025-04-03,,active_current,true,false,"25% on automobiles; parts effective by May 3, 2025 unless earlier specified",White House automobile proclamation,https://www.whitehouse.gov/presidential-actions/2025/03/adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states/,White House automobile proclamation,https://www.whitehouse.gov/presidential-actions/2025/03/adjusting-imports-of-automobiles-and-automobile-parts-into-the-united-states/,Current Section 232 auto program; treatment of parts and U.S.-content carveouts is more complex than a single headline rate.
section232_copper_2025,section_232,Copper Section 232 tariffs,Trump 2,Section 232,Global,Semi-finished copper products and intensive copper derivatives,2025-07-30,2025-08-01,,active_current,true,false,50%,White House copper proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/adjusting-imports-of-copper-into-the-united-states/,White House copper proclamation,https://www.whitehouse.gov/presidential-actions/2025/07/adjusting-imports-of-copper-into-the-united-states/,Tariff applies to copper content of covered products; proclamation discusses interaction with other tariffs on non-copper content.
section232_lumber_2025,section_232,"Timber, lumber, and derivative wood-products Section 232 tariffs",Trump 2,Section 232,Global,"Softwood lumber plus certain furniture, cabinets, vanities, and other derivatives",2025-09-29,2025-10-14,,active_current,true,false,"10% on softwood lumber; 25% on certain upholstered furniture, cabinets, and vanities, with some planned increases later amended",White House lumber fact sheet,https://www.whitehouse.gov/fact-sheets/2025/09/fact-sheet-president-donald-j-trump-addresses-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative-products-e810/,White House lumber fact sheet,https://www.whitehouse.gov/fact-sheets/2025/09/fact-sheet-president-donald-j-trump-addresses-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative-products-e810/,"Current but structurally messy; December 31, 2025 amendment changed the scheduled increases on some derivative products."
section232_mhdv_buses_2025,section_232,"Medium- and heavy-duty vehicles, parts, and buses Section 232 tariffs",Trump 2,Section 232,Global,"MHDVs, MHDV parts, and buses",2025-10-31,2025-11-01,,active_current,true,false,25% on MHDVs and key parts; 10% on buses,White House MHDV proclamation,https://www.whitehouse.gov/presidential-actions/2025/10/adjusting-imports-of-medium-and-heavy-duty-vehicles-medium-and-heavy-duty-vehicle-parts-and-buses-into-the-united-states/,White House MHDV proclamation,https://www.whitehouse.gov/presidential-actions/2025/10/adjusting-imports-of-medium-and-heavy-duty-vehicles-medium-and-heavy-duty-vehicle-parts-and-buses-into-the-united-states/,Current Section 232 program with offset mechanisms for U.S.-assembled vehicles.
section232_semiconductors_2026,section_232,Semiconductors and semiconductor equipment Section 232 tariffs,Trump 2,Section 232,Global,"Certain advanced computing chips, semiconductor manufacturing equipment, and specified derivative products",2026-01-14,2026-01-15,,active_current,true,false,"25% on covered products, with broad negotiated and use-based carveouts",White House semiconductor proclamation,https://www.whitehouse.gov/presidential-actions/2026/01/adjusting-imports-of-semiconductors-semiconductor-manufacturing-equipment-and-their-derivative-products-into-the-united-states/,White House semiconductor proclamation,https://www.whitehouse.gov/presidential-actions/2026/01/adjusting-imports-of-semiconductors-semiconductor-manufacturing-equipment-and-their-derivative-products-into-the-united-states/,Current Section 232 semiconductor program; distinct from Biden-era Section 301 semiconductor rate increase on China.
section301_china_list1_2018,section_301,China Section 301 List 1,Trump 1,Section 301,China,First $34 billion tranche of covered goods,2018-06-15,2018-07-06,,active_current,true,true,25%,USTR $34 billion trade action page,https://www.ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,USTR $34 billion trade action page,https://www.ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china/34-billion-trade-action,Still part of the live Section 301 China architecture as a baseline tranche.
section301_china_list2_2018,section_301,China Section 301 List 2,Trump 1,Section 301,China,Second $16 billion tranche of covered goods,2018-08-07,2018-08-23,,active_current,true,true,25%,USTR second tranche press release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/august/ustr-finalizes-second-tranche,USTR second tranche press release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/august/ustr-finalizes-second-tranche,Still part of the live Section 301 China architecture as a baseline tranche.
section301_china_list3_initial_2018,section_301,China Section 301 List 3 initial rate,Trump 1,Section 301,China,Third $200 billion tranche of covered goods,2018-09-17,2018-09-24,2019-05-09,superseded_historical,false,true,10%,USTR $200 billion tariffs release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/september/ustr-finalizes-tariffs-200,USTR $200 billion tariffs release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/september/ustr-finalizes-tariffs-200,Initial rate later increased to 25% in May 2019.
section301_china_list3_increase_2019,section_301,China Section 301 List 3 rate increase,Trump 1,Section 301,China,Third $200 billion tranche of covered goods,2019-05-08,2019-05-10,,active_current,true,true,25%,USTR $200 billion tariffs release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2018/september/ustr-finalizes-tariffs-200,USTR Section 301 China tariff pages,https://www.ustr.gov/issue-areas/enforcement/section-301-investigations/section-301-china,Current List 3 rate after May 2019 increase.
section301_china_list4a_2019,section_301,China Section 301 List 4A initial rate,Trump 1,Section 301,China,"Portion of fourth tranche effective September 1, 2019",2019-08-23,2019-09-01,2020-02-13,superseded_historical,false,true,15%,"USTR August 23, 2019 announcement",https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/august/statement-us-trade-representative-robert,"USTR September 1, 2019 action",https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/september/us-trade-representative-statement-1,List 4B planned for January 2020 was suspended; List 4A later cut to 7.5%.
section301_china_list4a_reduction_2020,section_301,China Section 301 List 4A reduction,Trump 1,Section 301,China,"Portion of fourth tranche effective September 1, 2019",2020-01-15,2020-02-14,,active_current,true,true,7.5%,USTR phase-one implementation release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2020/february/ustr-announces-modifications-section,USTR phase-one implementation release,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2020/february/ustr-announces-modifications-section,Current reduced rate for List 4A after the phase-one agreement.
section301_china_review_2024,section_301,China Section 301 four-year review tranche effective in 2024,Biden,Section 301,China,"EVs, solar cells, ship-to-shore cranes, steel/aluminum products, syringes/needles, batteries and other targeted sectors",2024-09-13,2024-09-27,,active_current,true,true,"Selected increases including EVs to 100%, solar cells to 50%, steel/aluminum products to 25%, syringes to 50%, cranes to 25%",USTR finalizes four-year review action,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2024/september/ustr-finalizes-action-china-tariffs-following-statutory-four-year-review,Federal Register final modification notice,https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,Event-level grouping of 2024-effective review increases rather than separate rows for every sub-sector.
section301_china_review_2025,section_301,China Section 301 four-year review tranche effective in 2025,Biden,Section 301,China,"Semiconductors, polysilicon, solar wafers, certain batteries and other covered goods",2024-09-13,2025-01-01,,active_current,true,false,Selected increases including semiconductors to 50%,USTR finalizes four-year review action,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2024/september/ustr-finalizes-action-china-tariffs-following-statutory-four-year-review,Federal Register final modification notice,https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,"Important because it captures the Biden-era semiconductor 50% increase that took effect January 1, 2025."
section301_china_review_2026,section_301,China Section 301 four-year review tranche effective in 2026,Biden,Section 301,China,"Non-EV lithium-ion batteries, natural graphite, permanent magnets, facemasks, medical gloves",2024-09-13,2026-01-01,,active_current,true,false,"Selected increases including 25% on non-EV lithium-ion batteries, natural graphite, permanent magnets, facemasks, and medical gloves",Federal Register final modification notice,https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,Federal Register final modification notice,https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,Grouped 2026-effective review increases rather than separate line items.
section301_ships_cargo_2025,section_301,Maritime and cargo-handling equipment Section 301 tariffs,Trump 2,Section 301,China,Certain ship-to-shore cranes and cargo handling equipment,2025-10-10,2025-11-10,,paused_current,false,false,25% to 100% depending on covered category after 2025 modifications,USTR modifies maritime and cargo handling action,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2025/october/ustr-modifies-action-targeting-ships-and-makes-other-adjustments-section-301-action-targeting-chinas-maritime-logistics-and-shipbuilding-sectors,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"Tracker source says maritime/cargo-handling tariffs are delayed until November 10, 2026."
section301_airbus_2019,section_301_wto,EU Airbus retaliation tariffs,Trump 1,Section 301 / WTO authorization,European Union,Civil aircraft and selected EU-origin goods,2019-10-02,2019-10-18,2020-03-17,superseded_historical,false,true,10% on civil aircraft and 25% on many other selected goods,USTR Airbus retaliation announcement,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/october/ustr-announces-wto-authorized,USTR Airbus retaliation announcement,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2019/october/ustr-announces-wto-authorized,Aircraft duty later increased in 2020 and then suspended in 2021.
section301_airbus_2020_increase,section_301_wto,EU Airbus aircraft-tariff increase,Trump 1,Section 301 / WTO authorization,European Union,Civil aircraft plus selected EU-origin goods,2020-02-14,2020-03-18,2021-07-10,terminated_historical,false,true,Aircraft tariff increased from 10% to 15%; many other goods remained at 25%,USTR revises tariffs in Airbus dispute,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2020/february/ustr-revises-tariffs-eu-products,USTR suspension of Airbus dispute tariffs,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2021/june/us-and-eu-announce-cooperative-framework,Tariffs later suspended as part of a five-year U.S.-EU arrangement.
ieepa_china_fentanyl_2025,ieepa,China fentanyl-supply-chain tariffs,Trump 2,IEEPA,China,"All PRC-origin articles subject to order, with later modifications",2025-02-01,2025-02-04,2026-02-20,invalidated_historical,false,false,"10% initially; increased to 20% on March 4, 2025",White House China fentanyl order,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"IEEPA tariffs invalidated by Supreme Court on February 20, 2026 according to the tracker."
ieepa_canada_border_2025,ieepa,Canada northern-border tariffs,Trump 2,IEEPA,Canada,"Broad Canada-origin imports, with lower rate for energy and later USMCA/potash modifications",2025-02-01,2025-02-04,2026-02-20,invalidated_historical,false,false,25% generally; 10% for Canadian energy/resources; later USMCA carveouts and 10% potash treatment,White House Canada IEEPA order,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-national-border/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"Program materially modified on March 7, 2025; all IEEPA tariffs later invalidated."
ieepa_mexico_border_2025,ieepa,Mexico southern-border tariffs,Trump 2,IEEPA,Mexico,"Broad Mexico-origin imports, later with USMCA carveouts",2025-02-01,2025-02-04,2026-02-20,invalidated_historical,false,false,25% generally; later modified for USMCA-origin goods,White House Mexico IEEPA order,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-duties-to-address-the-situation-at-our-southern-border/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"Program materially modified on March 7, 2025; all IEEPA tariffs later invalidated."
ieepa_reciprocal_2025,ieepa,Reciprocal tariff program,Trump 2,IEEPA,"All countries except those excluded in the order, with higher Annex I country rates",Broad all-imports program with Annex I country-specific rates and Annex II exclusions,2025-04-02,2025-04-05,2026-02-20,invalidated_historical,false,false,"10% baseline from April 5, 2025 plus higher Annex I country-specific rates from April 9, 2025",White House reciprocal tariff order,https://www.whitehouse.gov/presidential-actions/2025/04/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and-persistent-annual-united-states-goods-trade-deficits/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"This row captures the event-level program, not every Annex I country line."
ieepa_brazil_2025,ieepa,Brazil national-emergency tariffs,Trump 2,IEEPA,Brazil,Brazil-origin imports covered by the order,2025-07-30,2025-08-06,2026-02-20,invalidated_historical,false,false,"Additional 40%, bringing total to 50% in the fact sheet summary",White House Brazil fact sheet,https://www.whitehouse.gov/fact-sheets/2025/07/fact-sheet-president-donald-j-trump-addresses-threats-to-the-united-states-from-the-government-of-brazil/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,"IEEPA-based Brazil tariff action later swept into the February 20, 2026 IEEPA invalidation."
ieepa_india_secondary_2025,ieepa,India Russia-oil secondary tariffs,Trump 2,IEEPA,India,India-origin imports covered by the order,2025-08-06,2025-08-27,2026-02-20,invalidated_historical,false,false,Additional 25%,White House India/Russia fact sheet,https://www.whitehouse.gov/fact-sheets/2025/08/fact-sheet-president-donald-j-trump-addresses-threats-to-the-united-states-by-the-government-of-the-russian-federation/,Reed Smith tariff tracker,https://www.tradecomplianceresourcehub.com/2026/03/08/trump-2-0-tariff-tracker/,Framed as a Russia-related secondary tariff on India; later invalidated with other IEEPA tariffs.
section122_global_surcharge_2026,section_122,Temporary import surcharge under Section 122,Trump 2,Section 122,Broad global coverage with specific exceptions,Most imports not excepted in annexes,2026-02-20,2026-02-24,2026-07-24,active_current,true,false,10% temporary surcharge for up to 150 days,White House Section 122 proclamation,https://www.whitehouse.gov/presidential-actions/2026/02/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems/,White House Section 122 proclamation,https://www.whitehouse.gov/presidential-actions/2026/02/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems/,"Current as of March 27, 2026; proclamation states it does not stack on top of Section 232 tariffs."
